Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Correspondence Address,Editors,Publisher,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Muvatsi P., Snook L.K., Morgan G., Kahindo J.-M.","57200131166;6602728585;57222408173;56866164200;","The yield of edible caterpillars Imbrasia oyemensis and Cirina forda from timber trees logged on concessions in the Democratic Republic of the Congo: A contribution to managing tropical forests for multiple resources",2021,"Trees, Forests and People","4",, 100079,"","",,,"10.1016/j.tfp.2021.100079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102632438&doi=10.1016%2fj.tfp.2021.100079&partnerID=40&md5=85f58b8184393c3c7cf1ec6546025dad","Faculté des Sciences, Université de Kisangani, Kisangani, B.P 2012, Democratic Republic Congo; Forest Management and Restoration, Bioversity International, Via di San Domenico 1, Rome, 00153, Italy; Consultant Biometrician","Muvatsi, P., Faculté des Sciences, Université de Kisangani, Kisangani, B.P 2012, Democratic Republic Congo; Snook, L.K., Forest Management and Restoration, Bioversity International, Via di San Domenico 1, Rome, 00153, Italy; Morgan, G., Consultant Biometrician; Kahindo, J.-M., Faculté des Sciences, Université de Kisangani, Kisangani, B.P 2012, Democratic Republic Congo","Local people in rural areas of the tropics depend on forests for a range of food resources, including protein-rich edible caterpillars, among them Imbrasia oyemensis and Cirina forda, which are important for nutrition and income. Sapelli (Entandrophragma cylindricum), the African mahogany, and Tali (Erythrophleum suaveolens) are food sources for these caterpillars; they are also among the most important timber species harvested from Congo Basin forests. This study quantified the yield of caterpillars from harvestable and precommercial sizes of trees of these two timber species to better understand the impact of logging on the availability of edible caterpillars to local people, and the implications for managing both timber and non-timber resources in industrial timber concessions. Caterpillars were collected and weighed beneath 50 Sapelli trees 23–190 cm DBH and 170 Tali trees 22–174 cm DBH on two timber concessions, from mid-August to mid-September, over two years. Caterpillars were found to descend from the trees during 5 days each year, and quantities varied between years. In both sample years, yields were significantly higher from harvestable trees larger than the minimum cutting diameter than from precommercial trees. Each harvestable Sapelli tree (≥ 80 cm DBH), yielded an average of 11.3 kg fresh weight of I. oyemensis year-1; smaller, precommercial trees yielded 5.4 kg tree−1year−1. Each harvestable Tali tree (≥ 60 cm DBH) yielded an average of 9.1 kg of C. forda year−1, as compared to 5.7 kg tree−1year−1 from precommercial trees. This means that industrial timber harvesting, which removes trees larger than the minimum cutting diameter, has a disproportionate effect on the availability of caterpillars. However, trees below the minimum cutting diameter also yield caterpillars, and may occur at higher densities. Guidelines that limit harvesting on steep slopes or near watercourses, or that call for retaining large trees as seed sources, also safeguard caterpillar yields. However, multiple resource management should consider proactive measures, which could include zoning areas near villages as sources of edible caterpillars, and protecting those trees from logging. © 2021","Concession; Entandrophragma cylindricum; Erythrophleum suaveolens; Forest management; NTFP; Wild foods",,"Snook, L.K.; Forest Management and Restoration, Via di San Domenico 1, Italy; email: l.snook@cgiar.org",,"Elsevier B.V.",26667193,,,,"English","Tree. For. People.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85102632438
"Nguyen T.V., Lv J.H., Ngo V.Q.","57211320991;57203341800;57221528178;","Factors determining upland farmers' participation in non-timber forest product value chains for sustainable poverty reduction in Vietnam",2021,"Forest Policy and Economics","126",, 102424,"","",,,"10.1016/j.forpol.2021.102424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101521504&doi=10.1016%2fj.forpol.2021.102424&partnerID=40&md5=b1f8234872261fc2cbdc69f8fc21b904","School of Economics and Management, Northeast Forestry University, Harbin, 150040, China; Saodo University, Hai Duong, 03000, Viet Nam; Faculty of Business Management, Hanoi University of Industry, Ha Noi, Viet Nam","Nguyen, T.V., School of Economics and Management, Northeast Forestry University, Harbin, 150040, China, Saodo University, Hai Duong, 03000, Viet Nam; Lv, J.H., School of Economics and Management, Northeast Forestry University, Harbin, 150040, China; Ngo, V.Q., Faculty of Business Management, Hanoi University of Industry, Ha Noi, Viet Nam","The development of non-timber forest products (NTFPs) plays an active role in overall economic development and is considered a new direction for sustainable forestry development to help people escape poverty. From micro data collected by a survey of poor, rural households living in the mountainous region of Central Vietnam, a structural equation model (SEM) incorporating the six factors of household head characteristics, household characteristics, reputation statuses of households, forest characteristics, willingness to participate in NTFP value chains, and financial effects of NTFP value chains was established. An empirical study of the effects of farmers' behaviors on NTFP financial value chains was also conducted. The results showed that household head characteristics, household characteristics, reputation statuses of households, and forest characteristics were positively correlated with people's willingness to participate in NTFP value chains and increase the financial efficiency of the value chains. However, each factor has a different level of influence. Additional empirical factors affecting farmers' awareness of poverty reduction policies were investigated. It was found that the more farmers understand sustainable poverty reduction policies, the more willing they are to participate in the value chains. The willingness to participate in the value chains strongly affects the financial performances of the value chains. Farmers are expected to be willing to fulfill their obligations and their enthusiasm for participating in the value chains has increased the financial efficiency of the value chains. In the future, the government can cooperate with official financial institutions, policy finance institutions, and local rural intermediaries to increase public financial knowledge, poverty reduction policies and projects in poor areas, and the participation of poor farmers, as well as solve their credit problems. Meanwhile, in developing a financial model of new NTFP value chains, more attention should be paid to the needs of farmers and this model should be built with the aim of the sustainable development of NTFP value chains. © 2021 Elsevier B.V.","Non-timber forest products (NTFPs); Structural equation model (SEM); Sustainable poverty reduction; Value chain; Vietnam","Behavioral research; Efficiency; Finance; Rural areas; Timber; Financial efficiency; Financial institution; Financial modeling; Financial performance; Mountainous regions; Non-timber forest products; Structural equation modeling; Sustainable forestry; Forestry; Chains; Characteristics; Development; Efficiency; Finance; Forestry; Reduction; Vietnam","Lv, J.H.; School of Economics and Management, China; email: lvjiehuajiaoshou@126.com",,"Elsevier B.V.",13899341,,FPEOA,,"English","For. Policy Econ.",Article,"Final","",Scopus,2-s2.0-85101521504
"Suzette S.E., Nelson A.W., Regina E., Philip A., Mark Y.-A., Raphael N.-G., Shabana A.","57222337872;57196117259;57222343497;57196119469;57196121326;57222335084;57222338739;","Consumer preference, growth and profitability of African catfish (Clarias gariepinus) grown in treated and aerated wastewater fed ponds in Kumasi, Ghana",2021,"Heliyon","7","3", e06424,"","",,,"10.1016/j.heliyon.2021.e06424","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102373468&doi=10.1016%2fj.heliyon.2021.e06424&partnerID=40&md5=17d474c0687f4b9bdc0ff82878d6c5c2","Department of Fisheries and Watershed Management, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; TriMark Aquaculture Centre, Kumasi, Ghana; VIA Water/Aqua for All, Netherlands; International Water Management Institute, Ghana","Suzette, S.E., Department of Fisheries and Watershed Management, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Nelson, A.W., Department of Fisheries and Watershed Management, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Regina, E., Department of Fisheries and Watershed Management, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Philip, A., International Water Management Institute, Ghana; Mark, Y.-A., TriMark Aquaculture Centre, Kumasi, Ghana; Raphael, N.-G., Department of Fisheries and Watershed Management, Kwame Nkrumah University of Science and Technology, Kumasi, Ghana; Shabana, A., VIA Water/Aqua for All, Netherlands","Recycling of wastewater provides a substantial solution to the global issue of water scarcity and high water use in aquaculture. However, this sustainable way of wastewater use has not been given much attention and exploration. This study focused on the consumer preference for fish grown in treated wastewater as well as the effect of aeration on the growth performance and economic benefit of African catfish (Clarias gariepinus) grown in treated wastewater. Two hundred (200) respondents from two communities (Chirapatre and Gyinyase) near the wastewater treatment plant in Kumasi were interviewed to determine their willingness to accept and pay for African catfish grown in treated wastewater. For the growth trial, a total of 600 fish (of average initial weight 39.12g) were stocked in two maturation ponds with 4 h (3:00am–7:00am) of aeration daily. The trial lasted for 12 weeks and variables monitored included the survival, growth performance (weight gain, specific growth rate, and yield) and water quality. Fish cultured in non-aerated wastewater ponds (NWFPs) under similar conditions as in aerated wastewater-fed ponds (AWFPs) served as control. The results indicated most important considerations for consumers in their choice of fish to consume were in order of importance; food safety, freshness of fish, taste and packaging. The proximity of consumers to the treatment plant, the price of fish, religion, and age and whether or not they were fish consumers affected their willingness to pay for African catfish grown in the treated wastewater significantly. For the growth trial, dissolved oxygen concentrations in the aerated ponds were significantly higher than in the NWFPs and this led to more than a doubling of the growth rates in the African catfish grown in the AWFPs (189.10g ± 11.32) as compared to the NWFPs (90.70g ± 11.59). The pond aeration improved fish growth significantly (p < 0.0098). On economic benefit, the aerated system yielded profits of 618.83 (€103.13) as compared to a loss of 104.99 (€17.50), which was incurred in the non-aerated ponds. Education of the consumers on the process of wastewater treatment and establishment of food safety guidelines will therefore be recommended to increase consumer interest in consuming fish from the treated wastewater. © 2021 The Authorswastewater, African catfish, wastewater ponds © 2021 The Authors","African catfish; Wastewater; Wastewater ponds",,"Mark, Y.-A.; TriMark Aquaculture CentreGhana; email: yeboahagyepong6@yahoo.com",,"Elsevier Ltd",24058440,,,,"English","Heliyon",Article,"Final","",Scopus,2-s2.0-85102373468
"Vijayan D., Kaechele H., Girindran R., Chattopadhyay S., Lukas M.C., Arshad M.","57221206996;57215010889;57211507199;57221203491;56294657600;55108662800;","Tropical forest conversion and its impact on indigenous communities Mapping forest loss and shrinking gathering grounds in the Western Ghats, India",2021,"Land Use Policy","102",, 105133,"","",,,"10.1016/j.landusepol.2020.105133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098495327&doi=10.1016%2fj.landusepol.2020.105133&partnerID=40&md5=c0bdde8c7cadfd5ad3f16b98c0a84231","Leibniz Centre for Agricultural Landscape Research (ZALF), Müncheberg, Germany; University of AppliedScience Eberswalde, Germany; University of Nottingham, United Kingdom; Gulati Institute ofFinance and TaxationKerala, India; University of Bremen, Sustainability Research Center, Germany","Vijayan, D., Leibniz Centre for Agricultural Landscape Research (ZALF), Müncheberg, Germany; Kaechele, H., Leibniz Centre for Agricultural Landscape Research (ZALF), Müncheberg, Germany, University of AppliedScience Eberswalde, Germany; Girindran, R., University of Nottingham, United Kingdom; Chattopadhyay, S., Gulati Institute ofFinance and TaxationKerala, India; Lukas, M.C., University of Bremen, Sustainability Research Center, Germany; Arshad, M., Leibniz Centre for Agricultural Landscape Research (ZALF), Müncheberg, Germany","Conversions of natural forests to forest plantations threaten ecosystems and forest-dependent indigenous populations in many parts of the world. It is crucial to understand the scale and nature of such forest conversions and how they affect forest-dependent communities as a basis for prudent forest management and protection of indigenous livelihoods. This study analyses natural forest conversions and their impacts on tribal communities in the southern Western Ghats, a globally significant biodiversity hotspot. It focuses on two tribal settlements in protected forests within the catchment of the Achankovil River. The study involves time series analysis of forest cover change, based on a historical map and satellite images, field mapping of changes in the tribal communities’ areas of operation, household surveys, and focus group discussions. The analysis shows that the area of protected forest decreased by 53 % from 1978 to 2015. As a result, the size of the tribal communities’ gathering areas considerably shrunk, resulting in a decline in their collection of non-timber forest products and increased dependency on forest plantations labour for their livelihood. This is especially critical as the tribal communities still prefer to depend on natural forests for their sustenance. Preservation of natural forests is hence crucial not only for biodiversity conservation, but also to protect socio-economic and cultural traits of tribal populations. © 2020 Elsevier Ltd","Forest conversion; Hunter-Gatherer; Non-Timber forest products (NTFP); Operational area; Tribal people; Tropical forests","biodiversity; deforestation; hunter-gatherer; indigenous population; nontimber forest product; tropical forest; India; Western Ghats","Vijayan, D.; Leibniz Centre for Agricultural Landscape Research (ZALF)Germany; email: Dhanya.Vijayan@Zalf.de",,"Elsevier Ltd",02648377,,,,"English","Land Use Policy",Article,"Final","",Scopus,2-s2.0-85098495327
"Moulana R., Nilda C., Yusriana, Gunawan V.","57193535341;57209979142;57211952459;57222158832;","Risk analysis of Jernang plant (Daemonorops draco) in Aceh Province",2021,"IOP Conference Series: Earth and Environmental Science","644","1", 012039,"","",,,"10.1088/1755-1315/644/1/012039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101672978&doi=10.1088%2f1755-1315%2f644%2f1%2f012039&partnerID=40&md5=f95ff2e68c390fca225d9ea6dc398a24","Agricultural Product Technology Department, Universitas Syiah Kuala, Jalan Tgk. Hasan Krueng Kalee 3, Darussalam-Banda Aceh, 23111, Indonesia","Moulana, R., Agricultural Product Technology Department, Universitas Syiah Kuala, Jalan Tgk. Hasan Krueng Kalee 3, Darussalam-Banda Aceh, 23111, Indonesia; Nilda, C., Agricultural Product Technology Department, Universitas Syiah Kuala, Jalan Tgk. Hasan Krueng Kalee 3, Darussalam-Banda Aceh, 23111, Indonesia; Yusriana, Agricultural Product Technology Department, Universitas Syiah Kuala, Jalan Tgk. Hasan Krueng Kalee 3, Darussalam-Banda Aceh, 23111, Indonesia; Gunawan, V., Agricultural Product Technology Department, Universitas Syiah Kuala, Jalan Tgk. Hasan Krueng Kalee 3, Darussalam-Banda Aceh, 23111, Indonesia","Jernang is a non-timber forest product (NTFP) which has started to be traded and become a high-value commodity. Jernang is a type of rattan that produces a resin known as ""dragon's blood""which has many benefits such as dye raw materials in the ceramics, marble, wood, paper and pharmaceutical industries. Aceh province is one potential area for Jernang development. Supply chain is a complex system that has elements that are orderly, interrelated, dynamic, have specific goals and are probabilistic. In the Jernang supply chain there are risks that can cause losses and failures in production. Failure in production does not only occur at the end process but can also occur at the beginning or when the production process is being carried out. Through the Failure Modes and Effect Analysis (FMEA) method, it is expected that each form of failure can be identified in the production process. The results identified indicate that nineteen risk factors at the producer level. Based on the calculation of Risk Priority Number (RPN), the risk of decreasing production results is the most important risk. As such, this risk is the first priority that must be addressed. © Published under licence by IOP Publishing Ltd.",,"Agriculture; Ceramics industry; Environmental technology; Raw materials; Risk assessment; Safety engineering; Supply chains; Daemonorops; Dragon's blood; Effect analysis; Non-timber forest products; Pharmaceutical industry; Production process; Risk factors; Risk Priority Number; Risk analysis","Moulana, R.; Agricultural Product Technology Department, Jalan Tgk. Hasan Krueng Kalee 3, Indonesia; email: ryanmoulana@unsyiah.ac.id","Munawar A.A.Nasution I.S.","IOP Publishing Ltd",17551307,,,,"English","IOP Conf. Ser. Earth Environ. Sci.",Conference Paper,"Final","All Open Access, Gold",Scopus,2-s2.0-85101672978
"Woodward K.D., Pricope N.G., Stevens F.R., Gaughan A.E., Kolarik N.E., Drake M.D., Salerno J., Cassidy L., Hartter J., Bailey K.M., Luwaya H.M.","57212381124;35115547700;41762789100;23491815700;57212023249;57194418391;55030788800;16686360100;23492457100;55537760200;57219095699;","Modeling community-scale natural resource use in atransboundary southern african landscape: Integratingremote sensing and participatory mapping",2021,"Remote Sensing","13","4", 631,"1","30",,,"10.3390/rs13040631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100915556&doi=10.3390%2frs13040631&partnerID=40&md5=b40a46c310206729cfe55f4ae22c1d26","Department of Earth and Ocean Sciences, University of North Carolina Wilmington, 601 S College Road, Wilmington, NC  28403, United States; Department of Geography and Geosciences, Lutz Hall, University of Louisville, Louisville, KY  40292, United States; Environmental Studies Program, Sustainability, Energy, and Environment Community, University of Colorado Boulder, 4001 Discovery Drive, Boulder, CO  80303, United States; Department of Human Dimensions of Natural Resources, Graduate Degree Program in Ecology, Colorado State University, Campus Box 1480, Fort Collins, CO  80523-1480, United States; Okavango Research Institute, University of Botswana, P/Bag 285, Maun, Botswana; Department of National Parks and Wildlife, Private Bag 1, Kafue Road, Chilanga, Zambia","Woodward, K.D., Department of Earth and Ocean Sciences, University of North Carolina Wilmington, 601 S College Road, Wilmington, NC  28403, United States; Pricope, N.G., Department of Earth and Ocean Sciences, University of North Carolina Wilmington, 601 S College Road, Wilmington, NC  28403, United States; Stevens, F.R., Department of Geography and Geosciences, Lutz Hall, University of Louisville, Louisville, KY  40292, United States; Gaughan, A.E., Department of Geography and Geosciences, Lutz Hall, University of Louisville, Louisville, KY  40292, United States; Kolarik, N.E., Department of Geography and Geosciences, Lutz Hall, University of Louisville, Louisville, KY  40292, United States; Drake, M.D., Environmental Studies Program, Sustainability, Energy, and Environment Community, University of Colorado Boulder, 4001 Discovery Drive, Boulder, CO  80303, United States; Salerno, J., Department of Human Dimensions of Natural Resources, Graduate Degree Program in Ecology, Colorado State University, Campus Box 1480, Fort Collins, CO  80523-1480, United States; Cassidy, L., Okavango Research Institute, University of Botswana, P/Bag 285, Maun, Botswana; Hartter, J., Environmental Studies Program, Sustainability, Energy, and Environment Community, University of Colorado Boulder, 4001 Discovery Drive, Boulder, CO  80303, United States; Bailey, K.M., Environmental Studies Program, Sustainability, Energy, and Environment Community, University of Colorado Boulder, 4001 Discovery Drive, Boulder, CO  80303, United States; Luwaya, H.M., Department of National Parks and Wildlife, Private Bag 1, Kafue Road, Chilanga, Zambia","Remote sensing analyses focused on non-timber forest product (NTFP) collection and grazing are current research priorities of land systems science. However, mapping these particular land use patterns in rural heterogeneous landscapes is challenging because their potential signatures on the landscape cannot be positively identified without fine-scale land use data for validation. Using field-mapped resource areas and household survey data from participatory mapping research, we combined various Landsat-derived indices with ancillary data associated with human habitation to model the intensity of grazing and NTFP collection activities at 100-m spatial resolution. The study area is situated centrally within a transboundary southern African landscape that encompasses community-based organization (CBO) areas across three countries. We conducted four iterations of pixel-based random forest models, modifying the variable set to determine which of the covariates are most informative, using the best fit predictions to summarize and compare resource use intensity by resource type and across communities. Pixels within georeferenced, field-mapped resource areas were used as training data. All models had overall accuracies above 60% but those using proxies for human habitation were more robust, with overall accuracies above 90%. The contribution of Landsat data as utilized in our modeling framework was negligible, and further research must be conducted to extract greater value from Landsat or other optical remote sensing platforms to map these land use patterns at moderate resolution. We conclude that similar population proxy covariates should be included in future studies attempting to characterize communal resource use when traditional spectral signatures do not adequately capture resource use intensity alone. This study provides insights into modeling resource use activity when leveraging both remotely sensed data and proxies for human habitation in heterogeneous, spectrally mixed rural land areas. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Drylands; Grazing; Natural resources; NTFP; Participatory mapping; Random forest; Remote sensing; Savanna woodlands","Decision trees; Forestry; Land use; Mapping; Natural resources management; Pixels; Rural areas; Surveys; Community-based organizations; Heterogeneous landscapes; Natural resource use; Non-timber forest products; Optical remote sensing; Remote sensing analysis; Remotely sensed data; Research priorities; Remote sensing","Woodward, K.D.; Department of Earth and Ocean Sciences, 601 S College Road, United States; email: kdwoody11@gmail.com",,"MDPI AG",20724292,,,,"English","Remote Sens.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85100915556
"Jena P.K.","57215874677;","Factor productivity and marketed surplus of non-timber forest products in Similipal forest of Odisha",2021,"Journal of Public Affairs","21","1", e2116,"","",,,"10.1002/pa.2116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082186690&doi=10.1002%2fpa.2116&partnerID=40&md5=f693c1ab5bc9a53f0f09730e933a9744","Department of Economics, North Orissa University, Baripada, India","Jena, P.K., Department of Economics, North Orissa University, Baripada, India","The article examined the factor productivity and the marketed surplus of non-timber forest products (NTFPs) in the Smilipal forest of Mayurbhanj district of Odisha, India by using the econometric models. It is found that more than 90% of households earned their livelihood from NTFPs in the study area, where the women's participation is more than the male in the production/collection of NTFPs. Most of the households are illiterate, working-age people, and have more than 30 years of experience in the production of NTFPs. The production of NTFPs is highly seasonal and households produce or collect NTFPs during the winter season. Households having more family members produce or collect higher quantities of NTFPs than others. The marked surplus of NTFPs depends on the production or collection of NTFPs as well as the retention amount and wastes. The higher factor productivity indicates the NTFPs are the best source of livelihood in this area. © 2020 John Wiley & Sons, Ltd",,,"Jena, P.K.; Department of Economics, India; email: jenapratapkumar@gmail.com",,"John Wiley and Sons Ltd",14723891,,,,"English","J. Public Aff.",Article,"Final","",Scopus,2-s2.0-85082186690
"Li Y., Gong P., Ke J.","57219473927;7102704138;57219465970;","Development opportunities, forest use transition, and farmers' income differentiation: The impacts of Giant panda reserves in China",2021,"Ecological Economics","180",, 106869,"","",,,"10.1016/j.ecolecon.2020.106869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092925664&doi=10.1016%2fj.ecolecon.2020.106869&partnerID=40&md5=abb9a5381b70b39e873828d9badf83a9","Forest Economics, Beijing Forest University, College of Economics and Management, South China Agricultural University, Guangzhou, Guangdong, China; Swedish University of Agricultural Sciences, Center for Environmental and Resource Economics, Swedish University of Agricultural Sciences, Umeå, Sweden; Agricultural Economics, South China Agricultural University, College of Economics and Management, South China Agricultural UniversityGuangzhouGuangdong, China","Li, Y., Forest Economics, Beijing Forest University, College of Economics and Management, South China Agricultural University, Guangzhou, Guangdong, China; Gong, P., Swedish University of Agricultural Sciences, Center for Environmental and Resource Economics, Swedish University of Agricultural Sciences, Umeå, Sweden; Ke, J., Agricultural Economics, South China Agricultural University, College of Economics and Management, South China Agricultural UniversityGuangzhouGuangdong, China","This paper examines the impact of the natural conservation policy in China's giant panda reserves on forest resource utilization and its economic consequences. Different support policies have created different development opportunities for local communities and farmers, which have led to changes in forest use by farmers and their forest-related livelihoods. The empirical results indicate that the use of forest resources by communities and farmers is changing from traditional consumptive uses, such as timber harvest and the collection of nontimber products, to nonconsumptive uses such as ecotourism, forest farming and forest guard. While the share of farmers who are dependent on forests has generally been similar (30% -39%), farmers who are engaged in different types of forest-related activities have shown significant income differentiation. With more participation in eco-tourism, farmers are more likely to become a wealthy group with high income and high assets, whereas engaging in forest farming and logging and NTFP gathering is not conducive to increasing farmers' current incomes. The income inequality among the farmers in the study area is more serious than in other regions. Promoting equal opportunities through diversification and the wide participation of poor groups should be one of the directions for community development in the giant panda reserves. © 2020 Elsevier B.V.","Development opportunities; Forest utilization; Income-asset portfolio","community development; conservation planning; farmers knowledge; forest resource; income distribution; livelihood; nature reserve; nature-society relations; timber harvesting; China; Ailuropoda melanoleuca","Li, Y.; Forest Economics, China; email: liyi520@scau.edu.cn",,"Elsevier B.V.",09218009,,ECECE,,"English","Ecol. Econ.",Article,"Final","",Scopus,2-s2.0-85092925664
"Ao G., Xu Q., Liu Q., Xiong L., Wang F., Wu W.","57221700512;57221685877;56461621400;57194394039;57194391324;56461673200;","The influence of nontimber forest products development on the economic-ecological coordination-evidence from Lin’an District, Zhejiang Province, China",2021,"Sustainability (Switzerland)","13","2", 904,"1","20",,1,"10.3390/su13020904","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099802302&doi=10.3390%2fsu13020904&partnerID=40&md5=bf1d37a1470d276c228896bf35181138","Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China; School of Public Administration, Guizhou University of Finance and Economics, Guiyang, 550025, China; Research Academy for Rural Revitalization of Zhejiang Province, Zhejiang A&F University, Hangzhou, 311300, China","Ao, G., Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China, School of Public Administration, Guizhou University of Finance and Economics, Guiyang, 550025, China; Xu, Q., Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China; Liu, Q., Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China, Research Academy for Rural Revitalization of Zhejiang Province, Zhejiang A&F University, Hangzhou, 311300, China; Xiong, L., Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China, Research Academy for Rural Revitalization of Zhejiang Province, Zhejiang A&F University, Hangzhou, 311300, China; Wang, F., Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China, Research Academy for Rural Revitalization of Zhejiang Province, Zhejiang A&F University, Hangzhou, 311300, China; Wu, W., Faculty of Economics and Management, Zhejiang A&F University, Hangzhou, 311300, China, Research Academy for Rural Revitalization of Zhejiang Province, Zhejiang A&F University, Hangzhou, 311300, China","The influence of the nontimber forest products (NTFPs) on the coordinated economic and ecological development has received considerable attention, where the results are mixed. This study took Lin’an District in Zhejiang Province of China as an example for analysis. Using long-term (more than 40 years) data, system coupling and autoregressive distributed lag models were combined to analyze the effect of NTFP development on coordinated economic-ecological development. The results show that large-scale commercial NTFP development positively affected coordinated economic-ecological development, and a long-term stable equilibrium relationship between them existed. The degree of regional economic-ecological coupling increased from 0.05 in 1978 to 0.98 in 2019, and both area and value of NTFP had a significant effect on the coupling degree at the 5% level. These findings indicate that NTFP development is an effective method to promote the coordinated development of the economy and ecological environment especially in mountain areas, and the government should encourage NTFP development by ecological management, strengthening policy guidance, and providing technological innovation support, etc. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Coordinated development; Ecological environment; Economic development; Nontimber forest products","coordinate; economic development; equilibrium; innovation; long-term change; regional development; China; Zhejiang","Wu, W.; Faculty of Economics and Management, China; email: wuwgccap@126.com",,"MDPI AG",20711050,,,,"English","Sustainability",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85099802302
"Ormbsby A.A., Felardo J., Musci R.","57221258784;55973169200;57221261771;","Multiple values from the forest: contribution of non-timber forest products to livelihoods of local communities in Northeastern Thailand",2021,"Environment, Development and Sustainability",,,,"","",,,"10.1007/s10668-020-01131-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098648437&doi=10.1007%2fs10668-020-01131-z&partnerID=40&md5=09a75cca569d3be34a51a34dd9c6c521","Environmental Studies, University of North Carolina Asheville, Asheville, NC, United States; Eckerd College, St. Petersburg, FL  33711, United States; Monterey, CA, United States","Ormbsby, A.A., Environmental Studies, University of North Carolina Asheville, Asheville, NC, United States; Felardo, J., Eckerd College, St. Petersburg, FL  33711, United States; Musci, R., Monterey, CA, United States","Local residents near forests often collect non-timber forest products (NTFPs) for a variety of reasons, including food, medicine, firewood, religious reasons, or to produce handicrafts. This study focused on NTFP collection in the Phu Sritan forest in northeastern Thailand. Interviews were conducted with 568 residents to understand which NTFPs were collected, how the NTFPs are used, and how much income is generated. We found that 96% of those surveyed visit the local forest to collect NTFPs, mushrooms were the most frequently collected item, and the average income per year from NTFPs was $19 US. Also, most interviewees were not processing the raw materials collected, meaning that a value-added process for the NTFPs in the future could result in higher income possibility. We recommend that future research should focus on individual species that are under extreme NTFP collection pressures, and that harvest amounts should be measured and documented. © 2021, The Author(s), under exclusive licence to Springer Nature B.V. part of Springer Nature.","Forest use; Forest-based livelihoods; NTFP",,"Felardo, J.; Eckerd CollegeUnited States; email: felardjj@eckerd.edu",,"Springer Science and Business Media B.V.",1387585X,,EDSNB,,"English","Environ. Dev. Sustainability",Article,"Article in Press","",Scopus,2-s2.0-85098648437
